date,season,game_id,name,home_club_name,away_club_name,own_position,round,own_goals,opponent_goals,is_win,is_draw,is_lose,own_manager_name,hosting
2014-08-03,2014,2457642,johan-cruijff-schaal,PEC Zwolle,Ajax Amsterdam,-1,Final,0,1,0,0,1,Frank de Boer,Away
2014-08-10,2014,2459593,eredivisie,Ajax Amsterdam,Vitesse Arnhem,1,1. Matchday,4,1,1,0,0,Frank de Boer,Home
2014-08-17,2014,2459600,eredivisie,AZ Alkmaar,Ajax Amsterdam,2,2. Matchday,3,1,1,0,0,Frank de Boer,Away
2014-08-24,2014,2459612,eredivisie,Ajax Amsterdam,PSV Eindhoven,3,3. Matchday,1,3,0,0,1,Frank de Boer,Home
2014-08-31,2014,2459620,eredivisie,FC Groningen,Ajax Amsterdam,7,4. Matchday,0,2,0,0,1,Frank de Boer,Away
2014-09-13,2014,2459622,eredivisie,Ajax Amsterdam,Heracles Almelo,5,5. Matchday,2,1,1,0,0,Frank de Boer,Home
2014-09-17,2014,2490853,uefa-champions-league,Ajax Amsterdam,Paris Saint-Germain,-1,Group F,1,1,0,1,0,Frank de Boer,Home
2014-09-21,2014,2459637,eredivisie,Feyenoord Rotterdam,Ajax Amsterdam,2,6. Matchday,1,0,1,0,0,Frank de Boer,Away
2014-09-24,2014,2496924,toto-knvb-beker,,Ajax Amsterdam,-1,Second Round,9,0,1,0,0,Frank de Boer,Away
2014-09-27,2014,2459643,eredivisie,NAC Breda,Ajax Amsterdam,2,7. Matchday,5,2,1,0,0,Frank de Boer,Away
2014-09-30,2014,2495297,uefa-champions-league,,Ajax Amsterdam,-1,Group F,1,1,0,1,0,Frank de Boer,Away
2014-10-05,2014,2459657,eredivisie,Ajax Amsterdam,PEC Zwolle,2,8. Matchday,0,0,0,1,0,Frank de Boer,Home
2014-10-18,2014,2459662,eredivisie,Twente Enschede FC,Ajax Amsterdam,2,9. Matchday,1,1,0,1,0,Frank de Boer,Away
2014-10-21,2014,2495313,uefa-champions-league,FC Barcelona,Ajax Amsterdam,-1,Group F,1,3,0,0,1,Frank de Boer,Away
2014-10-25,2014,2459670,eredivisie,Ajax Amsterdam,Go Ahead Eagles,2,10. Matchday,3,1,1,0,0,Frank de Boer,Home
2014-10-28,2014,2500747,toto-knvb-beker,,Ajax Amsterdam,-1,Third Round,4,0,1,0,0,Frank de Boer,Away
2014-11-01,2014,2459677,eredivisie,Ajax Amsterdam,FC Dordrecht,2,11. Matchday,4,0,1,0,0,Frank de Boer,Home
2014-11-05,2014,2495336,uefa-champions-league,Ajax Amsterdam,FC Barcelona,-1,Group F,0,2,0,0,1,Frank de Boer,Home
2014-11-09,2014,2459689,eredivisie,SC Cambuur Leeuwarden,Ajax Amsterdam,2,12. Matchday,4,2,1,0,0,Frank de Boer,Away
2014-11-22,2014,2459698,eredivisie,Ajax Amsterdam,SC Heerenveen,2,13. Matchday,4,1,1,0,0,Frank de Boer,Home
2014-11-25,2014,2495346,uefa-champions-league,Paris Saint-Germain,Ajax Amsterdam,-1,Group F,1,3,0,0,1,Frank de Boer,Away
2014-11-30,2014,2459708,eredivisie,ADO Den Haag,Ajax Amsterdam,2,14. Matchday,1,1,0,1,0,Frank de Boer,Away
2014-12-06,2014,2459716,eredivisie,Ajax Amsterdam,Willem II Tilburg,2,15. Matchday,5,0,1,0,0,Frank de Boer,Home
2014-12-10,2014,2495369,uefa-champions-league,Ajax Amsterdam,,-1,Group F,4,0,1,0,0,Frank de Boer,Home
2014-12-14,2014,2459726,eredivisie,Ajax Amsterdam,FC Utrecht,2,16. Matchday,3,1,1,0,0,Frank de Boer,Home
2014-12-18,2014,2509866,toto-knvb-beker,Ajax Amsterdam,Vitesse Arnhem,-1,Round of 16,0,4,0,0,1,Frank de Boer,Home
